Timestamp,Event_Type,Key_Button,X,Y,Action
1770558085.3957002,Mouse,Move,825,252,Move
1770558085.3966925,Mouse,Move,823,250,Move
1770558085.3977437,Mouse,Move,821,248,Move
1770558085.398704,Mouse,Move,820,247,Move
1770558085.399731,Mouse,Move,817,245,Move
1770558085.4007273,Mouse,Move,816,244,Move
1770558085.4017305,Mouse,Move,815,242,Move
1770558085.4027033,Mouse,Move,812,240,Move
1770558085.4037259,Mouse,Move,811,239,Move
1770558085.4047222,Mouse,Move,810,238,Move
1770558085.4057214,Mouse,Move,808,236,Move
1770558085.406809,Mouse,Move,806,234,Move
1770558085.4077232,Mouse,Move,805,234,Move
1770558085.4087625,Mouse,Move,804,232,Move
1770558085.409748,Mouse,Move,802,231,Move
1770558085.4107382,Mouse,Move,800,229,Move
1770558085.4118323,Mouse,Move,798,228,Move
1770558085.412748,Mouse,Move,797,227,Move
1770558085.4137497,Mouse,Move,796,225,Move
1770558085.4147387,Mouse,Move,794,224,Move
1770558085.4157631,Mouse,Move,793,223,Move
1770558085.4167304,Mouse,Move,792,222,Move
1770558085.4177248,Mouse,Move,790,221,Move
1770558085.4187007,Mouse,Move,790,220,Move
1770558085.41973,Mouse,Move,789,218,Move
1770558085.4216437,Mouse,Move,787,217,Move
1770558085.4219592,Mouse,Move,786,216,Move
1770558085.4227188,Mouse,Move,785,215,Move
1770558085.4237165,Mouse,Move,783,213,Move
1770558085.4247308,Mouse,Move,783,213,Move
1770558085.4257286,Mouse,Move,782,212,Move
1770558085.4267328,Mouse,Move,781,211,Move
1770558085.4277482,Mouse,Move,779,210,Move
1770558085.4287283,Mouse,Move,779,209,Move
1770558085.4297347,Mouse,Move,778,208,Move
1770558085.4307206,Mouse,Move,777,207,Move
1770558085.4317293,Mouse,Move,776,207,Move
1770558085.4327173,Mouse,Move,775,205,Move
1770558085.4337327,Mouse,Move,775,205,Move
1770558085.4347248,Mouse,Move,774,204,Move
1770558085.4357188,Mouse,Move,773,204,Move
1770558085.4367576,Mouse,Move,772,202,Move
1770558085.437705,Mouse,Move,772,202,Move
1770558085.438708,Mouse,Move,771,201,Move
1770558085.4396853,Mouse,Move,770,200,Move
1770558085.4407349,Mouse,Move,770,199,Move
1770558085.441733,Mouse,Move,769,199,Move
1770558085.4427328,Mouse,Move,768,198,Move
1770558085.443721,Mouse,Move,768,197,Move
1770558085.4447472,Mouse,Move,767,197,Move
1770558085.4457219,Mouse,Move,767,196,Move
1770558085.4467623,Mouse,Move,766,196,Move
1770558085.4476972,Mouse,Move,766,195,Move
1770558085.448786,Mouse,Move,765,195,Move
1770558085.4497592,Mouse,Move,765,194,Move
1770558085.4507446,Mouse,Move,765,193,Move
1770558085.4517841,Mouse,Move,763,193,Move
1770558085.4527836,Mouse,Move,763,192,Move
1770558085.4537356,Mouse,Move,763,192,Move
1770558085.4547696,Mouse,Move,762,191,Move
1770558085.4557238,Mouse,Move,762,190,Move
1770558085.4567347,Mouse,Move,762,190,Move
1770558085.4577322,Mouse,Move,761,189,Move
1770558085.458724,Mouse,Move,760,189,Move
1770558085.4601424,Mouse,Move,760,188,Move
1770558085.4607282,Mouse,Move,760,187,Move
1770558085.4617255,Mouse,Move,759,187,Move
1770558085.4627426,Mouse,Move,759,186,Move
1770558085.4637723,Mouse,Move,759,186,Move
1770558085.464731,Mouse,Move,759,185,Move
1770558085.465749,Mouse,Move,758,185,Move
1770558085.4667263,Mouse,Move,758,184,Move
1770558085.4677782,Mouse,Move,758,183,Move
1770558085.46978,Mouse,Move,757,183,Move
1770558085.4707391,Mouse,Move,757,182,Move
1770558085.4717505,Mouse,Move,756,182,Move
1770558085.4727418,Mouse,Move,756,181,Move
1770558085.4737413,Mouse,Move,756,181,Move
1770558085.475767,Mouse,Move,755,180,Move
1770558085.476742,Mouse,Move,755,179,Move
1770558085.4777415,Mouse,Move,755,179,Move
1770558085.478746,Mouse,Move,755,178,Move
1770558085.48077,Mouse,Move,754,178,Move
1770558085.4817357,Mouse,Move,754,177,Move
1770558085.483745,Mouse,Move,754,177,Move
1770558085.484745,Mouse,Move,754,177,Move
1770558085.4857612,Mouse,Move,754,176,Move
1770558085.4867415,Mouse,Move,753,175,Move
1770558085.4887497,Mouse,Move,753,175,Move
1770558085.4897373,Mouse,Move,753,174,Move
1770558085.491754,Mouse,Move,752,174,Move
1770558085.4927294,Mouse,Move,752,173,Move
1770558085.493739,Mouse,Move,752,173,Move
1770558085.4957476,Mouse,Move,752,173,Move
1770558085.496731,Mouse,Move,752,172,Move
1770558085.4987354,Mouse,Move,751,171,Move
1770558085.4997325,Mouse,Move,751,171,Move
1770558085.5017288,Mouse,Move,751,170,Move
1770558085.5027153,Mouse,Move,751,170,Move
1770558085.5047143,Mouse,Move,751,170,Move
1770558085.5057306,Mouse,Move,751,169,Move
1770558085.5067284,Mouse,Move,750,169,Move
1770558085.5087447,Mouse,Move,750,169,Move
1770558085.5107374,Mouse,Move,750,168,Move
1770558085.5117326,Mouse,Move,750,167,Move
1770558085.5137613,Mouse,Move,750,167,Move
1770558085.515761,Mouse,Move,750,166,Move
1770558085.517789,Mouse,Move,749,166,Move
1770558085.5187452,Mouse,Move,749,166,Move
1770558085.5197666,Mouse,Move,749,165,Move
1770558085.5207705,Mouse,Move,748,165,Move
1770558085.5227404,Mouse,Move,748,165,Move
1770558085.5237389,Mouse,Move,748,164,Move
1770558085.527353,Mouse,Move,748,163,Move
1770558085.5277112,Mouse,Move,748,163,Move
1770558085.530752,Mouse,Move,748,162,Move
1770558085.531749,Mouse,Move,747,162,Move
1770558085.5327406,Mouse,Move,747,162,Move
1770558085.5347645,Mouse,Move,747,161,Move
1770558085.5407608,Mouse,Move,747,161,Move
1770558085.5447512,Mouse,Move,747,161,Move
1770558085.5456996,Mouse,Move,747,160,Move
1770558085.5667593,Mouse,Move,747,160,Move
1770558085.5707982,Mouse,Move,747,159,Move
1770558085.581754,Mouse,Move,747,158,Move
1770558085.5837348,Mouse,Move,747,158,Move
1770558085.5857344,Mouse,Move,747,157,Move
1770558085.5907393,Mouse,Move,747,157,Move
1770558085.5927222,Mouse,Move,747,156,Move
1770558085.5967505,Mouse,Move,746,156,Move
1770558085.5997593,Mouse,Move,746,155,Move
1770558085.6027248,Mouse,Move,746,154,Move
1770558085.6046994,Mouse,Move,746,154,Move
1770558085.6077492,Mouse,Move,746,153,Move
1770558085.6097445,Mouse,Move,746,153,Move
1770558085.6137156,Mouse,Move,746,152,Move
1770558085.6167536,Mouse,Move,746,152,Move
1770558085.6187797,Mouse,Move,745,152,Move
1770558085.6207535,Mouse,Move,745,151,Move
1770558085.6226833,Mouse,Move,745,150,Move
1770558085.6236947,Mouse,Move,744,150,Move
1770558085.6267288,Mouse,Move,744,150,Move
1770558085.6277068,Mouse,Move,744,150,Move
1770558085.6307256,Mouse,Move,744,149,Move
1770558085.6317232,Mouse,Move,743,149,Move
1770558085.632702,Mouse,Move,743,149,Move
1770558085.633714,Mouse,Move,743,149,Move
1770558085.6367283,Mouse,Move,742,149,Move
1770558085.6387339,Mouse,Move,742,148,Move
1770558085.640717,Mouse,Move,742,148,Move
1770558085.642701,Mouse,Move,742,148,Move
1770558085.643737,Mouse,Move,741,148,Move
1770558085.6487253,Mouse,Move,740,147,Move
1770558085.6517992,Mouse,Move,740,147,Move
1770558085.653751,Mouse,Move,739,147,Move
1770558085.6557577,Mouse,Move,739,146,Move
1770558085.6577375,Mouse,Move,739,146,Move
1770558085.661753,Mouse,Move,738,146,Move
1770558085.6657395,Mouse,Move,738,146,Move
1770558085.6666968,Mouse,Move,738,146,Move
1770558085.6717255,Mouse,Move,737,146,Move
1770558085.677794,Mouse,Move,737,145,Move
1770558085.6807675,Mouse,Move,736,145,Move
1770558085.7047527,Mouse,Move,736,145,Move
1770558085.7067595,Mouse,Move,735,145,Move
1770558085.710766,Mouse,Move,735,145,Move
1770558085.711745,Mouse,Move,734,145,Move
1770558085.7127225,Mouse,Move,734,145,Move
1770558085.7157342,Mouse,Move,733,146,Move
1770558085.7177153,Mouse,Move,732,146,Move
1770558085.718707,Mouse,Move,732,147,Move
1770558085.719746,Mouse,Move,731,147,Move
1770558085.7207463,Mouse,Move,731,147,Move
1770558085.721737,Mouse,Move,730,147,Move
1770558085.722722,Mouse,Move,730,148,Move
1770558085.7237234,Mouse,Move,730,148,Move
1770558085.7247243,Mouse,Move,729,148,Move
1770558085.725736,Mouse,Move,729,148,Move
1770558085.7267284,Mouse,Move,728,149,Move
1770558085.7277002,Mouse,Move,727,149,Move
